featureType,featureId,name,shop,brand,hours,latitude,longitude
node,3397875325,Super Duper Burgers,,,,37.7848683,-122.4035456
node,3397910051,Super Duper Burgers,,,,37.7869373,-122.4040148
node,3397923104,Oasis Grill,,,,37.7870859,-122.4038287
node,3540104222,Easy Breezy,,,,37.7404310,-122.4665130
node,3540104224,Calibur,,,,37.7401543,-122.4667867
node,3605423539,Pizzalicious,,,,37.7880065,-122.4200461
node,3622464001,Burrito Loco,,,,37.7408775,-122.4655297
node,3622464003,Submarine Center,,,,37.7408061,-122.4654015
node,3642090339,Sweet greens,,,,37.7872668,-122.3986501
node,3674255699,Park Gyros,,,,37.7657898,-122.4665914
node,3674278789,Irving Subs and Cheese Shop,,,,37.7640524,-122.4694092
node,3699163029,grubbin',,,,37.7429359,-122.4812611
node,3781718457,El Burrito Express,,,,37.7425918,-122.4833491
node,3801395644,North Beach Pizza,,,,37.7672262,-122.4529946
node,3801412030,Happy Donuts,,,,37.7695204,-122.4517666
node,3875122061,Gelato Classico Italian,,,,37.8006099,-122.4088891
node,3881440386,Tanguito,,,,37.8074752,-122.4172288
node,3931507112,Pizza Zone,,,,37.8068444,-122.4182366
node,3931507136,,,,,37.8070416,-122.4187653
node,3986912498,Nizario's,,,,37.7977076,-122.4067101
node,3993039693,iTea,,,,37.7635139,-122.4811860
node,4017234500,Tpumps,,,,37.7636366,-122.4786001
node,4022689972,Mustafio's Pizza,,,,37.7870636,-122.4198172
node,4022712099,J. Georgie's Donuts Teriyaki & Hamburger,,,,37.7651934,-122.4151131
node,4086950189,Barbary Coast,,,,37.7846160,-122.4087510
node,4118236789,Ziggy's Burger,,,,37.7939497,-122.3966629
node,4129615925,Super Duper Burgers,,,,37.7914507,-122.4040574
node,4194116711,Sorabol Korean BBQ & Asian,,,,37.7842253,-122.4032414
node,4194116712,Fresca Garden,,,,37.7839905,-122.4028082
node,4214359692,Domino's,,Domino's,,37.7534897,-122.4971580
node,4242200927,Pupuseria El Golazo,,,,37.7136180,-122.4299824
node,4248537989,Domino's,,Domino's,,37.7428040,-122.4057510
node,4259744391,Hot Spud,,,,37.8077335,-122.4138928
node,4259746694,Eggcellent Waffles,,,,37.7896538,-122.4118742
node,4259754590,Wing wings,,,,37.7723610,-122.4292563
node,4317737810,The Lunch Box,,,,37.7257108,-122.4494426
node,4322166629,Taqueria Los Cayotes,,,,37.7651442,-122.4204315
node,4343748164,Hawker Alley,,,,37.7915160,-122.4043592
node,4396942820,The Organic Coup,,,,37.7947834,-122.3962573
node,4468299590,Lee's Deli,,,,37.7888918,-122.4015838
node,4482171289,Panda Express,,Panda Express,,37.7835636,-122.4070397
node,4485990000,Slice House by Tony Gemignani,,,,37.7764792,-122.4167552
node,4485990003,Project Juice,,,,37.7765894,-122.4165862
node,4485990004,Sushi & Oyster Bar,,,,37.7764389,-122.4170288
node,4485990005,Taco Bar,,,,37.7764241,-122.4169000
node,4545797576,Subway,,Subway,,37.7657762,-122.4666144
node,4548821686,Gyro Xpress,,,,37.7610068,-122.4348657
node,4548821707,Taco Loco,,,,37.7523856,-122.4179087
node,4556399233,Jamba,,Jamba,,37.7871677,-122.4075610
node,4556399235,Subway,,Subway,,37.7872281,-122.4075717
node,4564660590,Subway,,Subway,,37.7804833,-122.4802578
node,4586287693,Jack in the Box,,Jack in the Box,,37.8079165,-122.4159843
node,4592848043,Hazel's Kitchen,,,,37.7625201,-122.3960677
node,4613804471,Subway,,Subway,,37.7799558,-122.4071796
node,4613888432,Vikings Giant Subs,,,,37.8014018,-122.4250580
node,4613888435,Bobo's the Burger,,,,37.8013713,-122.4252835
node,4613901101,Pizzeria & Grill,,,,37.8055851,-122.4131167
