featureType,latitude,longitude
fastFood,37.7905380,-122.4041513
fastFood,37.7923499,-122.3999558
fastFood,37.7901812,-122.3973252
fastFood,37.7915853,-122.3998048
fastFood,37.7931578,-122.4026987
fastFood,37.7945086,-122.4179820
fastFood,37.7849912,-122.4084582
fastFood,37.7863082,-122.4132350
fastFood,37.7849883,-122.4109965
fastFood,37.7771074,-122.4380571
fastFood,37.7855574,-122.4397700
fastFood,37.7774018,-122.4631888
fastFood,37.7603091,-122.4215990
fastFood,37.7881885,-122.4176155
fastFood,37.7943113,-122.3975668
fastFood,37.7747353,-122.4379230
fastFood,37.7864542,-122.4145370
fastFood,37.7978587,-122.4285532
fastFood,37.7723075,-122.4297398
fastFood,37.7552248,-122.4203609
fastFood,37.7852669,-122.4332747
fastFood,37.7856979,-122.4330068
fastFood,37.7976630,-122.4318193
fastFood,37.7681240,-122.4291930
fastFood,37.7953187,-122.3920657
fastFood,37.7625973,-122.3944174
fastFood,37.7890185,-122.3946318
fastFood,37.7831922,-122.4325599
fastFood,37.7635408,-122.4583748
fastFood,37.7277353,-122.4766546
fastFood,37.7600455,-122.4207811
fastFood,37.7885975,-122.4146965
fastFood,37.7693229,-122.4514111
fastFood,37.7221604,-122.4786762
fastFood,37.7783740,-122.3918680
fastFood,37.7836875,-122.4325061
fastFood,37.7836399,-122.4326272
fastFood,37.7835237,-122.4326084
fastFood,37.7818240,-122.4456575
fastFood,37.7945298,-122.3951458
fastFood,37.7665115,-122.4087000
fastFood,37.7935501,-122.3941502
fastFood,37.7936789,-122.3941594
fastFood,37.7936516,-122.3939859
fastFood,37.7935991,-122.3940659
fastFood,37.7937156,-122.3940894
fastFood,37.7936327,-122.3942341
fastFood,37.7945655,-122.3960494
fastFood,37.7947082,-122.3959848
fastFood,37.7946339,-122.3956683
fastFood,37.7946559,-122.3954678
fastFood,37.7920665,-122.3972060
fastFood,37.7757843,-122.4181249
fastFood,37.7302601,-122.4762820
fastFood,37.7276435,-122.4765212
